rq,sc,dm,kp,zg,zd,sp,cjl,cje
20150629,OF,OF150001,1.9800,1.9800,1.9800,1.9800,0,0
20150629,OF,OF150008,1.3830,1.3830,1.3830,1.3830,0,0
20150629,OF,OF150009,1.9330,1.9330,1.9330,1.9330,0,0
20150629,OF,OF150012,1.1430,1.1430,1.1430,1.1430,0,0
20150629,OF,OF150013,1.8430,1.8430,1.8430,1.8430,0,0
20150629,OF,OF150016,2.0374,2.0374,2.0374,2.0374,0,0
20150629,OF,OF150017,2.7505,2.7505,2.7505,2.7505,0,0
20150629,OF,OF150018,1.0280,1.0280,1.0280,1.0280,0,0
20150629,OF,OF150019,1.3060,1.3060,1.3060,1.3060,0,0
20150629,OF,OF150020,1.0810,1.0810,1.0810,1.0810,0,0
20150629,OF,OF150021,1.3840,1.3840,1.3840,1.3840,0,0
20150629,OF,OF150022,1.0284,1.0284,1.0284,1.0284,0,0
20150629,OF,OF150023,0.5870,0.5870,0.5870,0.5870,0,0
20150629,OF,OF150027,1.3880,1.3880,1.3880,1.3880,0,0
20150629,OF,OF150028,1.0040,1.0040,1.0040,1.0040,0,0
20150629,OF,OF150029,0.6240,0.6240,0.6240,0.6240,0,0
20150629,OF,OF150030,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150031,0.5720,0.5720,0.5720,0.5720,0,0
20150629,OF,OF150032,1.0132,1.0132,1.0132,1.0132,0,0
20150629,OF,OF150033,1.0822,1.0822,1.0822,1.0822,0,0
20150629,OF,OF150034,1.1900,1.1900,1.1900,1.1900,0,0
20150629,OF,OF150035,2.1330,2.1330,2.1330,2.1330,0,0
20150629,OF,OF150036,1.0310,1.0310,1.0310,1.0310,0,0
20150629,OF,OF150037,1.7830,1.7830,1.7830,1.7830,0,0
20150629,OF,OF150039,1.0410,1.0410,1.0410,1.0410,0,0
20150629,OF,OF150040,1.6480,1.6480,1.6480,1.6480,0,0
20150629,OF,OF150042,1.5296,1.5296,1.5296,1.5296,0,0
20150629,OF,OF150047,1.0330,1.0330,1.0330,1.0330,0,0
20150629,OF,OF150048,2.1330,2.1330,2.1330,2.1330,0,0
20150629,OF,OF150049,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150050,1.4650,1.4650,1.4650,1.4650,0,0
20150629,OF,OF150051,1.0120,1.0120,1.0120,1.0120,0,0
20150629,OF,OF150052,0.8040,0.8040,0.8040,0.8040,0,0
20150629,OF,OF150053,1.0137,1.0137,1.0137,1.0137,0,0
20150629,OF,OF150054,1.1552,1.1552,1.1552,1.1552,0,0
20150629,OF,OF150055,1.0303,1.0303,1.0303,1.0303,0,0
20150629,OF,OF150056,2.6343,2.6343,2.6343,2.6343,0,0
20150629,OF,OF150057,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150058,0.7120,0.7120,0.7120,0.7120,0,0
20150629,OF,OF150059,1.0300,1.0300,1.0300,1.0300,0,0
20150629,OF,OF150060,1.8050,1.8050,1.8050,1.8050,0,0
20150629,OF,OF150064,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150065,0.5890,0.5890,0.5890,0.5890,0,0
