序号,长度,类型,字段名,字段说明
1,12,ftString,dm,代码
2,4,ftInteger,fbrq,发布日期
3,4,ftInteger,bgq,报告期
4,4,ftInteger,ssrq,上市日期
5,4,ftSingle,mgsy,每股收益
6,4,ftSingle,mgjzc,每股净资产
7,4,ftSingle,jzccyl,净资产收益率
8,4,ftSingle,mgjyxj,每股经营现金
9,4,ftSingle,mggjj,每股公积金
10,4,ftSingle,mgwfp,每股未分配
11,4,ftSingle,gdqyb,股东权益比
12,4,ftSingle,jlrtb,净利润同比
13,4,ftSingle,zysrtb,主营收入同比
14,4,ftSingle,xxmll,销售毛利率
15,4,ftSingle,tzmgjz,调整每股净资
16,4,ftSingleD10,zzc,总资产
17,4,ftSingleD10,ldzc,流动资产
18,4,ftSingleD10,gdzc,固定资产
19,4,ftSingleD10,wxzc,无形资产
20,4,ftSingleD10,ldfz,流动负债
21,4,ftSingleD10,cqfz,长期负债
22,4,ftSingleD10,zfz,总负债
23,4,ftSingleD10,gdqy,股东权益
24,4,ftSingleD10,zbgjj,资本公积金
25,4,ftSingleD10,jyxjll,经营现金流量
26,4,ftSingleD10,tzxjll,投资现金流量
27,4,ftSingleD10,czxjll,筹资现金流量
28,4,ftSingleD10,xjzje,现金增加额
29,4,ftSingleD10,zysrt,主营收入
30,4,ftSingleD10,zylr,主营利润
31,4,ftSingleD10,yylr,营业利润
32,4,ftSingleD10,tzsy,投资收益
33,4,ftSingleD10,yywsz,营业外收支
34,4,ftSingleD10,lrze,利润总额
35,4,ftSingleD10,jlr,净利润
36,4,ftSingleD10,wfplr,未分配利润
37,4,ftSingleD10,zgb,总股本
38,4,ftSingleD10,wxsghj,无限售股合计
39,4,ftSingleD10,ag,A股
40,4,ftSingleD10,bg,B股
41,4,ftSingleD10,jwssg,境外上市股
42,4,ftSingleD10,qtltg,其他流通股
43,4,ftSingleD10,xsghj,限售股合计
44,4,ftSingleD10,gjcg,国家持股
45,4,ftSingleD10,gyfrg,国有法人股
46,4,ftSingleD10,jnfrg,境内法人股
47,4,ftSingleD10,jnzrrg,境内自然人股
48,4,ftSingleD10,qtfqrg,其他发起人股
49,4,ftSingleD10,mjfrg,募集法人股
50,4,ftSingleD10,jwfrg,境外法人股
51,4,ftSingleD10,jwzrrg,境外自然人股
52,4,ftSingleD10,yxghqt,优先股或其他
